Month,AustralianPort,ForeignPort,Country,PaxIn,FreightIn,MailIn,PaxOut,FreightOut,MailOut,TotalPax,TotalFreight,TotalMail,Year,"<< This year is based on the month selected in cell E2 in sheet ""Totals"" - it is only a calendar year if the month in sheet ""Totals"" is set to December",,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Seoul,Korea,"18,342",640.8,71.1,"15,385",340.5,16.0,"33,727",981.3,87.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Shanghai,China,"13,272",388.6,24.7,"10,958",119.4,8.0,"24,230",507.9,32.7,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Sharjah,United Arab Emirates,..,..,..,..,0.0,0.0,..,0.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Singapore,Singapore,"55,227","1,737.2",128.9,"45,946","1,467.7",17.3,"101,173","3,205.0",146.1,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Subic Bay,Philippines,..,..,..,..,251.3,0.0,..,251.3,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Taipei,Taiwan,"5,155",21.7,5.8,"4,489",16.4,0.0,"9,644",38.1,5.8,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Tokyo,Japan,"16,896",172.6,125.6,"15,271",120.6,72.3,"32,167",293.2,197.9,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Toledo,USA,..,19.0,0.0,..,..,..,..,19.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Tongatapu,Tonga,"1,291",3.9,0.0,959,1.1,0.0,"2,250",5.0,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
Jan-09,Sydney,Toronto,Canada,"1,240",2.1,0.0,"1,184",0.0,0.0,"2,424",2.2,0.0,#REF!,,,,,,,,,,,,,,,,,,,,,,,,
